DTCCode,Description
P228B,Fuel Pressure Regulator 2 - Forced Engine Shutdown
P228C,Fuel Pressure Regulator 1 Exceeded Control Limits - Pressure Too
P228D,Fuel Pressure Regulator 1 Exceeded Control Limits - Pressure Too
P228E,Fuel Pressure Regulator 1 Exceeded Learning Limits - Too Low
P228F,Fuel Pressure Regulator 1 Exceeded Learning Limits - Too High
P2290,Injector Control Pressure Too Low
P2291,Injector Control Pressure Too Low - Engine Cranking
P2292,Injector Control Pressure Erratic
P2293,Fuel Pressure Regulator 2 Performance
P2294,Fuel Pressure Regulator 2 Control Circuit/Open
P2295,Fuel Pressure Regulator 2 Control Circuit Low
P2296,Fuel Pressure Regulator 2 Control Circuit High
P2297,O2 Sensor Out of Range During Deceleration
P2298,O2 Sensor Out of Range During Deceleration
P2299,Brake Pedal Position/Accelerator Pedal Position Incompatible
P229A,Fuel Pressure Regulator 2 Exceeded Control Limits - Pressure Too
P229B,Fuel Pressure Regulator 2 Exceeded Control Limits - Pressure Too
P229C,Fuel Pressure Regulator 2 Exceeded Learning Limits - Too Low
P229D,Fuel Pressure Regulator 2 Exceeded Learning Limits - Too High
P2300,"Ignition Coil ""A"" Primary Control Circuit Low"
P2301,"Ignition Coil ""A"" Primary Control Circuit High"
P2302,"Ignition Coil ""A"" Secondary Circuit"
P2303,"Ignition Coil ""B"" Primary Control Circuit Low"
P2304,"Ignition Coil ""B"" Primary Control Circuit High"
P2305,"Ignition Coil ""B"" Secondary Circuit"
P2306,"Ignition Coil ""C"" Primary Control Circuit Low"
P2307,"Ignition Coil ""C"" Primary Control Circuit High"
P2308,"Ignition Coil ""C"" Secondary Circuit"
P2309,"Ignition Coil ""D"" Primary Control Circuit Low"
P2310,"Ignition Coil ""D"" Primary Control Circuit High"
P2311,"Ignition Coil ""D"" Secondary Circuit"
P2312,"Ignition Coil ""E"" Primary Control Circuit Low"
P2313,"Ignition Coil ""E"" Primary Control Circuit High"
P2314,"Ignition Coil ""E"" Secondary Circuit"
P2315,"Ignition Coil ""F"" Primary Control Circuit Low"
P2316,"Ignition Coil ""F"" Primary Control Circuit High"
P2317,"Ignition Coil ""F"" Secondary Circuit"
P2318,"Ignition Coil ""G"" Primary Control Circuit Low"
P2319,"Ignition Coil ""G"" Primary Control Circuit High"
P2320,"Ignition Coil ""G"" Secondary Circuit"
P2321,"Ignition Coil ""H"" Primary Control Circuit Low"
P2322,"Ignition Coil ""H"" Primary Control Circuit High"
P2323,"Ignition Coil ""H"" Secondary Circuit"
P2324,"Ignition Coil ""I"" Primary Control Circuit Low"
P2325,"Ignition Coil ""I"" Primary Control Circuit High"
P2326,"Ignition Coil ""I"" Secondary Circuit"
P2327,"Ignition Coil ""J"" Primary Control Circuit Low"
P2328,"Ignition Coil ""J"" Primary Control Circuit High"
P2329,"Ignition Coil ""J"" Secondary Circuit"
P2330,"Ignition Coil ""K"" Primary Control Circuit Low"
P2331,"Ignition Coil ""K"" Primary Control Circuit High"
P2332,"Ignition Coil ""K"" Secondary Circuit"
P2333,"Ignition Coil ""L"" Primary Control Circuit Low"
P2334,"Ignition Coil ""L"" Primary Control Circuit High"
P2335,"Ignition Coil ""L"" Secondary Circuit"
P2336,Cylinder 1 Above Knock Threshold
P2337,Cylinder 2 Above Knock Threshold
P2338,Cylinder 3 Above Knock Threshold
P2339,Cylinder 4 Above Knock Threshold
P2340,Cylinder 5 Above Knock Threshold
P2341,Cylinder 6 Above Knock Threshold
P2342,Cylinder 7 Above Knock Threshold
P2343,Cylinder 8 Above Knock Threshold
P2344,Cylinder 9 Above Knock Threshold
P2345,Cylinder 10 Above Knock Threshold
P2346,Cylinder 11 Above Knock Threshold
P2347,Cylinder 12 Above Knock Threshold
P2400,Evaporative Emission System Leak Detection Pump Control
P2401,Evaporative Emission System Leak Detection Pump Control Circuit
P2402,Evaporative Emission System Leak Detection Pump Control Circuit
P2403,Evaporative Emission System Leak Detection Pump Sense
P2404,Evaporative Emission System Leak Detection Pump Sense Circuit
P2405,Evaporative Emission System Leak Detection Pump Sense Circuit
P2406,Evaporative Emission System Leak Detection Pump Sense Circuit
P2407,Evaporative Emission System Leak Detection Pump Sense Circuit
P2408,Fuel Cap Sensor/Switch Circuit
P2409,Fuel Cap Sensor/Switch Circuit Range/Performance
P240A,Evaporative Emission System Leak Detection Pump Heater Control
P240B,Evaporative Emission System Leak Detection Pump Heater Control
P240C,Evaporative Emission System Leak Detection Pump Heater Control
P2410,Fuel Cap Sensor/Switch Circuit Low
P2411,Fuel Cap Sensor/Switch Circuit High
P2412,Fuel Cap Sensor/Switch Circuit Intermittent/Erratic
P2413,Exhaust Gas Recirculation System Performance
P2414,O2 Sensor Exhaust Sample Error
P2415,O2 Sensor Exhaust Sample Error
P2416,O2 Sensor Signals Swapped Bank 1 Sensor 2/Bank 1 Sensor 3
P2417,O2 Sensor Signals Swapped Bank 2 Sensor 2/Bank 2 Sensor 3
P2418,Evaporative Emission System Switching Valve Control Circuit/Open
P2419,Evaporative Emission System Switching Valve Control Circuit Low
P2420,Evaporative Emission System Switching Valve Control Circuit High
P2421,Evaporative Emission System Vent Valve Stuck Open
P2422,Evaporative Emission System Vent Valve Stuck Closed
P2423,HC Adsorption Catalyst Efficiency Below Threshold
P2424,HC Adsorption Catalyst Efficiency Below Threshold
P2425,Exhaust Gas Recirculation Cooling Valve Control Circuit/Open
P2426,Exhaust Gas Recirculation Cooling Valve Control Circuit Low
P2427,Exhaust Gas Recirculation Cooling Valve Control Circuit High
P2428,Exhaust Gas Temperature Too High
P2429,Exhaust Gas Temperature Too High
P242A,Exhaust Gas Temperature Sensor Circuit
P242B,Exhaust Gas Temperature Sensor Circuit Range/Performance
P242C,Exhaust Gas Temperature Sensor Circuit Low
P242D,Exhaust Gas Temperature Sensor Circuit High
P242E,Exhaust Gas Temperature Sensor Circuit Intermittent/Erratic
P242F,Diesel Particulate Filter Restriction - Ash Accumulation
P2430,Secondary Air Injection System Air Flow/Pressure Sensor Circuit
P2431,Secondary Air Injection System Air Flow/Pressure Sensor Circuit
P2432,Secondary Air Injection System Air Flow/Pressure Sensor Circuit
P2433,Secondary Air Injection System Air Flow/Pressure Sensor Circuit
P2434,Secondary Air Injection System Air Flow/Pressure Sensor Circuit
P2435,Secondary Air Injection System Air Flow/Pressure Sensor Circuit
P2436,Secondary Air Injection System Air Flow/Pressure Sensor Circuit
P2437,Secondary Air Injection System Air Flow/Pressure Sensor Circuit
P2438,Secondary Air Injection System Air Flow/Pressure Sensor Circuit
P2439,Secondary Air Injection System Air Flow/Pressure Sensor Circuit
P2440,Secondary Air Injection System Switching Valve Stuck Open
P2441,Secondary Air Injection System Switching Valve Stuck Closed
P2442,Secondary Air Injection System Switching Valve Stuck Open
P2443,Secondary Air Injection System Switching Valve Stuck Closed
P2444,Secondary Air Injection System Pump Stuck On
P2445,Secondary Air Injection System Pump Stuck Off
P2446,Secondary Air Injection System Pump Stuck On
P2447,Secondary Air Injection System Pump Stuck Off
P2448,Secondary Air Injection System High Air Flow
P2449,Secondary Air Injection System High Air Flow
P244A,Diesel Particulate Filter Differential Pressure Too Low
P244B,Diesel Particulate Filter Differential Pressure Too High
P244C,Exhaust Temperature Too Low For Particulate Filter Regeneration
P244D,Exhaust Temperature Too High For Particulate Filter Regeneration
P244E,Exhaust Temperature Too Low For Particulate Filter Regeneration
P244F,Exhaust Temperature Too High For Particulate Filter Regeneration
P2450,Evaporative Emission System Switching Valve Performance/Stuck
P2451,Evaporative Emission System Switching Valve Stuck Closed
P2452,"Diesel Particulate Filter Pressure Sensor ""A"" Circuit"
P2453,"Diesel Particulate Filter Pressure Sensor ""A"" Circuit"
P2454,"Diesel Particulate Filter Pressure Sensor ""A"" Circuit Low"
P2455,"Diesel Particulate Filter Pressure Sensor ""A"" Circuit High"
P2456,"Diesel Particulate Filter Pressure Sensor ""A"" Circuit"
P2457,Exhaust Gas Recirculation Cooling System Performance
P2458,Diesel Particulate Filter Regeneration Duration
P2459,Diesel Particulate Filter Regeneration Frequency
P245A,Exhaust Gas Recirculation Cooler Bypass Control Circuit/Open
P245B,Exhaust Gas Recirculation Cooler Bypass Control Circuit
P245C,Exhaust Gas Recirculation Cooler Bypass Control Circuit Low
P245D,Exhaust Gas Recirculation Cooler Bypass Control Circuit High
P245E,"Diesel Particulate Filter Pressure Sensor ""B"" Circuit"
P245F,"Diesel Particulate Filter Pressure Sensor ""B"" Circuit"
P2460,"Diesel Particulate Filter Pressure Sensor ""B"" Circuit Low"
P2461,"Diesel Particulate Filter Pressure Sensor ""B"" Circuit High"
P2462,"Diesel Particulate Filter Pressure Sensor ""B"" Circuit"
P2463,Diesel Particulate Filter Restriction - Soot Accumulation
P2464,Diesel Particulate Filter Differential Pressure Too Low
P2465,Diesel Particulate Filter Differential Pressure Too High
P2466,Exhaust Gas Temperature Sensor Circuit
P2467,Exhaust Gas Temperature Sensor Circuit Range/Performance
P2468,Exhaust Gas Temperature Sensor Circuit Low
P2469,Exhaust Gas Temperature Sensor Circuit High
P246A,Exhaust Gas Temperature Sensor Circuit Intermittent/Erratic
P246B,Vehicle Conditions Incorrect for Diesel Particulate Filter
P246C,Diesel Particulate Filter Restriction - Forced Limited Power
P246D,"Diesel Particulate Filter Pressure Sensor ""A""/""B"" Correlation"
P246E,Exhaust Gas Temperature Sensor Circuit
P246F,Exhaust Gas Temperature Sensor Circuit Range/Performance
P2470,Exhaust Gas Temperature Sensor Circuit Low
P2471,Exhaust Gas Temperature Sensor Circuit High
P2472,Exhaust Gas Temperature Sensor Circuit Intermittent/Erratic
P2473,Exhaust Gas Temperature Sensor Circuit
P2474,Exhaust Gas Temperature Sensor Circuit Range/Performance
P2475,Exhaust Gas Temperature Sensor Circuit Low
P2476,Exhaust Gas Temperature Sensor Circuit High
P2477,Exhaust Gas Temperature Sensor Circuit Intermittent/Erratic
P2478,Exhaust Gas Temperature Out of Range
P2479,Exhaust Gas Temperature Out of Range
P247A,Exhaust Gas Temperature Out of Range
P247B,Exhaust Gas Temperature Out of Range
P247C,Exhaust Gas Temperature Out of Range
P247D,Exhaust Gas Temperature Out of Range
P247E,Exhaust Gas Temperature Out of Range
P247F,Exhaust Gas Temperature Out of Range
P2480,Exhaust Gas Temperature Sensor Circuit/Open
P2481,Exhaust Gas Temperature Sensor Circuit Low
P2482,Exhaust Gas Temperature Sensor Circuit High
P2483,Exhaust Gas Temperature Sensor Circuit Range/Performance
P2484,Exhaust Gas Temperature Sensor Circuit Intermittent/Erratic
P2485,Exhaust Gas Temperature Sensor Circuit/Open
P2486,Exhaust Gas Temperature Sensor Circuit Low
P2487,Exhaust Gas Temperature Sensor Circuit High
P2488,Exhaust Gas Temperature Sensor Circuit Range/Performance
P2489,Exhaust Gas Temperature Sensor Circuit Intermittent/Erratic
P2500,Generator Lamp/L-Terminal Circuit Low
P2501,Generator Lamp/L-Terminal Circuit High
P2502,Charging System Voltage
P2503,Charging System Voltage Low
P2504,Charging System Voltage High
P2505,ECM/PCM Power Input Signal
P2506,ECM/PCM Power Input Signal Range/Performance
P2507,ECM/PCM Power Input Signal Low
P2508,ECM/PCM Power Input Signal High
P2509,ECM/PCM Power Input Signal Intermittent
P250A,Engine Oil Level Sensor Circuit
P250B,Engine Oil Level Sensor Circuit Range/Performance
P250C,Engine Oil Level Sensor Circuit Low
P250D,Engine Oil Level Sensor Circuit High
P250E,Engine Oil Level Sensor Circuit Intermittent/Erratic
P250F,Engine Oil Level Too Low
P2510,ECM/PCM Power Relay Sense Circuit Range/Performance
P2511,ECM/PCM Power Relay Sense Circuit Intermittent
P2512,Event Data Recorder Request Circuit/ Open
P2513,Event Data Recorder Request Circuit Low
P2514,Event Data Recorder Request Circuit High
P2515,"A/C Refrigerant Pressure Sensor ""B"" Circuit"
P2516,"A/C Refrigerant Pressure Sensor ""B"" Circuit Range/Performance"
P2517,"A/C Refrigerant Pressure Sensor ""B"" Circuit Low"
P2518,"A/C Refrigerant Pressure Sensor ""B"" Circuit High"
P2519,"A/C Request ""A"" Circuit"
P251A,PTO Enable Switch Circuit/Open
P251B,PTO Enable Switch Circuit Low
P251C,PTO Enable Switch Circuit High
P251D,PTO Engine Shutdown Circuit/Open
P251E,PTO Engine Shutdown Circuit Low
P251F,PTO Engine Shutdown Circuit High
P2520,"A/C Request ""A"" Circuit Low"
P2521,"A/C Request ""A"" Circuit High"
P2522,"A/C Request ""B"" Circuit"
P2523,"A/C Request ""B"" Circuit Low"
P2524,"A/C Request ""B"" Circuit High"
P2525,Vacuum Reservoir Pressure Sensor Circuit
P2526,Vacuum Reservoir Pressure Sensor Circuit Range/Performance
P2527,Vacuum Reservoir Pressure Sensor Circuit Low
P2528,Vacuum Reservoir Pressure Sensor Circuit High
P2529,Vacuum Reservoir Pressure Sensor Circuit Intermittent
P252A,Engine Oil Quality Sensor Circuit
P252B,Engine Oil Quality Sensor Circuit Range/Performance
P252C,Engine Oil Quality Sensor Circuit Low
P252D,Engine Oil Quality Sensor Circuit High
P252E,Engine Oil Quality Circuit Intermittent/Erratic
P252F,Engine Oil Level Too High
P2530,Ignition Switch Run Position Circuit
P2531,Ignition Switch Run Position Circuit Low
P2532,Ignition Switch Run Position Circuit High
P2533,Ignition Switch Run/Start Position Circuit
P2534,Ignition Switch Run/Start Position Circuit Low
P2535,Ignition Switch Run/Start Position Circuit High
P2536,Ignition Switch Accessory Position Circuit
P2537,Ignition Switch Accessory Position Circuit Low
P2538,Ignition Switch Accessory Position Circuit High
P2539,Low Pressure Fuel System Sensor Circuit
P253A,PTO Sense Circuit/Open
P253B,PTO Sense Circuit Range/Performance
P253C,PTO Sense Circuit Low
P253D,PTO Sense Circuit High
P253E,PTO Sense Circuit Intermittent/Erratic
P253F,Engine Oil Deteriorated
P2540,Low Pressure Fuel System Sensor Circuit Range/Performance
P2541,Low Pressure Fuel System Sensor Circuit Low
P2542,Low Pressure Fuel System Sensor Circuit High
P2543,Low Pressure Fuel System Sensor Circuit Intermittent
P2544,"Torque Management Request Input Signal ""A"""
P2545,"Torque Management Request Input Signal ""A"" Range/Performance"
P2546,"Torque Management Request Input Signal ""A"" Low"
P2547,"Torque Management Request Input Signal ""A"" High"
P2548,"Torque Management Request Input Signal ""B"""
P2549,"Torque Management Request Input Signal ""B"" Range/Performance"
P254A,PTO Speed Selector Sensor/Switch 1 Circuit/Open
P254B,PTO Speed Selector Sensor/Switch 1 Range/Performance
P254C,PTO Speed Selector Sensor/Switch 1 Circuit Low
P254D,PTO Speed Selector Sensor/Switch 1 Circuit High
P254E,PTO Speed Selector Sensor/Switch 1 Circuit Intermittent/Erratic
P254F,Engine Hood Switch Circuit
P2550,"Torque Management Request Input Signal ""B"" Low"
P2551,"Torque Management Request Input Signal ""B"" High"
P2552,Throttle/Fuel Inhibit Circuit
P2553,Throttle/Fuel Inhibit Circuit Range/Performance
P2554,Throttle/Fuel Inhibit Circuit Low
P2555,Throttle/Fuel Inhibit Circuit High
P2556,Engine Coolant Level Sensor/Switch Circuit
P2557,Engine Coolant Level Sensor/Switch Circuit Range/Performance
P2558,Engine Coolant Level Sensor/Switch Circuit Low
P2559,Engine Coolant Level Sensor/Switch Circuit High
P255A,PTO Speed Selector Sensor/Switch 2 Circuit/Open
P255B,PTO Speed Selector Sensor/Switch 2 Range/Performance
P255C,PTO Speed Selector Sensor/Switch 2 Circuit Low
P255D,PTO Speed Selector Sensor/Switch 2 Circuit High
P255E,PTO Speed Selector Sensor/Switch 2 Circuit Intermittent/Erratic
P255F,"A/C Request ""A"" Circuit Range/Performance"
P2560,Engine Coolant Level Low
P2561,A/C Control Module Requested MIL Illumination
P2562,"Turbocharger Boost Control Position Sensor ""A"" Circuit"
P2563,"Turbocharger Boost Control Position Sensor ""A"" Circuit"
P2564,"Turbocharger Boost Control Position Sensor ""A"" Circuit Low"
P2565,"Turbocharger Boost Control Position Sensor ""A"" Circuit High"
P2566,"Turbocharger Boost Control Position Sensor ""A"" Circuit Intermittent"
P2567,Direct Ozone Reduction Catalyst Temperature Sensor Circuit
P2568,Direct Ozone Reduction Catalyst Temperature Sensor Circuit
P2569,Direct Ozone Reduction Catalyst Temperature Sensor Circuit Low
P256A,Engine Idle Speed Selector Sensor/Switch Circuit/Open
P256B,Engine Idle Speed Selector Sensor/Switch Range/Performance
P256C,Engine Idle Speed Selector Sensor/Switch Circuit Low
P256D,Engine Idle Speed Selector Sensor/Switch Circuit High
P256E,Engine Idle Speed Selector Sensor/Switch Circuit
P256F,"A/C Request ""B"" Circuit Range/Performance"
P2570,Direct Ozone Reduction Catalyst Temperature Sensor Circuit High
P2571,Direct Ozone Reduction Catalyst Temperature Sensor Circuit
P2572,Direct Ozone Reduction Catalyst Deterioration Sensor Circuit
P2573,Direct Ozone Reduction Catalyst Deterioration Sensor Circuit
P2574,Direct Ozone Reduction Catalyst Deterioration Sensor Circuit Low
P2575,Direct Ozone Reduction Catalyst Deterioration Sensor Circuit High
P2576,Direct Ozone Reduction Catalyst Deterioration Sensor Circuit
P2577,Direct Ozone Reduction Catalyst Efficiency Below Threshold
P2578,Turbocharger Speed Sensor Circuit
P2579,Turbocharger Speed Sensor Circuit Range/Performance
P257A,Vacuum Reservoir Control Circuit/Open
P257B,Vacuum Reservoir Control Circuit Low
P257C,Vacuum Reservoir Control Circuit High
P257D,Engine Hood Switch Circuit Range/Performance
P257E,Engine Hood Switch Circuit Low
P257F,Engine Hood Switch Circuit High
P2580,Turbocharger Speed Sensor Circuit Low
P2581,Turbocharger Speed Sensor Circuit High
P2582,Turbocharger Speed Sensor Circuit Intermittent
P2583,Cruise Control Front Distance Range Sensor
P2584,Fuel Additive Control Module Requested MIL Illumination
P2585,Fuel Additive Control Module Warning Lamp Request
P2586,"Turbocharger Boost Control Position Sensor ""B"" Circuit"
P2587,"Turbocharger Boost Control Position Sensor ""B"" Circuit"
P2588,"Turbocharger Boost Control Position Sensor ""B"" Circuit Low"
P2589,"Turbocharger Boost Control Position Sensor ""B"" Circuit High"
P258A,Vacuum Pump Control Circuit/Open
P258B,Vacuum Pump Control Range/Performance
P258C,Vacuum Pump Control Circuit Low
P258D,Vacuum Pump Control Circuit High
P258E,PTO Enable Switch Performance
P258F,Torque Management Request Output Signal
P2590,"Turbocharger Boost Control Position Sensor ""B"" Circuit"
P2591,Cruise Control Front Distance Range Sensor
P2592,Cruise Control Front Distance Range Sensor
P2600,"Coolant Pump ""A"" Control Circuit/Open"
P2601,"Coolant Pump ""A"" Control Circuit Range/Performance"
P2602,"Coolant Pump ""A"" Control Circuit Low"
P2603,"Coolant Pump ""A"" Control Circuit High"
P2604,"Intake Air Heater ""A"" Circuit Range/Performance"
P2605,"Intake Air Heater ""B"" Circuit/Open"
P2606,"Intake Air Heater ""B"" Circuit Range/Performance"
P2607,"Intake Air Heater ""B"" Circuit Low"
P2608,"Intake Air Heater ""B"" Circuit High"
P2609,Intake Air Heater System Performance
P260A,PTO Control Circuit/Open
P260B,PTO Control Circuit Low
P260C,PTO Control Circuit High
P260D,PTO Engaged Lamp Control Circuit
P260E,Diesel Particulate Filter Regeneration Lamp Control Circuit
P260F,Evaporative System Monitoring Processor Performance
P2610,ECM/PCM Internal Engine Off Timer Performance
P2611,A/C Refrigerant Distribution Valve Control Circuit/Open
P2612,A/C Refrigerant Distribution Valve Control Circuit Low
P2613,A/C Refrigerant Distribution Valve Control Circuit High
P2614,Camshaft Position Signal Output Circuit/Open
P2615,Camshaft Position Signal Output Circuit Low
P2616,Camshaft Position Signal Output Circuit High
P2617,Crankshaft Position Signal Output Circuit/Open
P2618,Crankshaft Position Signal Output Circuit Low
P2619,Crankshaft Position Signal Output Circuit High
P261A,"Coolant Pump ""B"" Control Circuit/Open"
P261B,"Coolant Pump ""B"" Control Circuit Range/Performance"
P261C,"Coolant Pump ""B"" Control Circuit Low"
P261D,"Coolant Pump ""B"" Control Circuit High"
P2620,Throttle Position Output Circuit/Open
P2621,Throttle Position Output Circuit Low
P2622,Throttle Position Output Circuit High
P2623,Injector Control Pressure Regulator Circuit/Open
P2624,Injector Control Pressure Regulator Circuit Low
P2625,Injector Control Pressure Regulator Circuit High
P2626,O2 Sensor Pumping Current Trim Circuit/Open
P2627,O2 Sensor Pumping Current Trim Circuit Low
P2628,O2 Sensor Pumping Current Trim Circuit High
P2629,O2 Sensor Pumping Current Trim Circuit/Open
P2630,O2 Sensor Pumping Current Trim Circuit Low
P2631,O2 Sensor Pumping Current Trim Circuit High
P2632,"Fuel Pump ""B"" Control Circuit /Open"
P2633,"Fuel Pump ""B"" Control Circuit Low"
P2634,"Fuel Pump ""B"" Control Circuit High"
P2635,"Fuel Pump ""A"" Low Flow/Performance"
P2636,"Fuel Pump ""B"" Low Flow/Performance"
P2637,"Torque Management Feedback Signal ""A"""
P2638,"Torque Management Feedback Signal ""A"" Range/Performance"
P2639,"Torque Management Feedback Signal ""A"" Low"
P2640,"Torque Management Feedback Signal ""A"" High"
P2641,"Torque Management Feedback Signal ""B"""
P2642,"Torque Management Feedback Signal ""B"" Range/Performance"
P2643,"Torque Management Feedback Signal ""B"" Low"
P2644,"Torque Management Feedback Signal ""B"" High"
P2645,"""A"" Rocker Arm Actuator Control Circuit/Open"
P2646,"""A"" Rocker Arm Actuator System Performance/Stuck Off"
P2647,"""A"" Rocker Arm Actuator System Stuck On"
P2648,"""A"" Rocker Arm Actuator Control Circuit Low"
P2649,"""A"" Rocker Arm Actuator Control Circuit High"
P264A,"""A"" Rocker Arm Actuator Position Sensor Circuit"
P264B,"""A"" Rocker Arm Actuator Position Sensor Circuit Range/Performance"
P264C,"""A"" Rocker Arm Actuator Position Sensor Circuit Low"
P264D,"""A"" Rocker Arm Actuator Position Sensor Circuit High"
P264E,"""A"" Rocker Arm Actuator Position Sensor Circuit Intermittent/Erratic"
P2650,"""B"" Rocker Arm Actuator Control Circuit/Open"
P2651,"""B"" Rocker Arm Actuator System Performance/Stuck Off"
P2652,"""B"" Rocker Arm Actuator System Stuck On"
P2653,"""B"" Rocker Arm Actuator Control Circuit Low"
P2654,"""B"" Rocker Arm Actuator Control Circuit High"
P2655,"""A"" Rocker Arm Actuator Control Circuit/Open"
P2656,"""A"" Rocker Arm Actuator System Performance/Stuck Off"
P2657,"""A"" Rocker Arm Actuator System Stuck On"
P2658,"""A"" Rocker Arm Actuator Control Circuit Low"
P2659,"""A"" Rocker Arm Actuator Control Circuit High"
P265A,"""B"" Rocker Arm Actuator Position Sensor Circuit"
P265B,"""B"" Rocker Arm Actuator Position Sensor Circuit Range/Performance"
P265C,"""B"" Rocker Arm Actuator Position Sensor Circuit Low"
P265D,"""B"" Rocker Arm Actuator Position Sensor Circuit High"
P265E,"""B"" Rocker Arm Actuator Position Sensor Circuit Intermittent/Erratic"
P2660,"""B"" Rocker Arm Actuator Control Circuit/Open"
P2661,"""B"" Rocker Arm Actuator System Performance/Stuck Off"
P2662,"""B"" Rocker Arm Actuator System Stuck On"
P2663,"""B"" Rocker Arm Actuator Control Circuit Low"
P2664,"""B"" Rocker Arm Actuator Control Circuit High"
P2665,"Fuel Shutoff Valve ""B"" Control Circuit/Open"
P2666,"Fuel Shutoff Valve ""B"" Control Circuit Low"
P2667,"Fuel Shutoff Valve ""B"" Control Circuit High"
P2668,Fuel Mode Indicator Lamp Control Circuit
P2669,"Actuator Supply Voltage ""B"" Circuit /Open"
P266A,"""A"" Rocker Arm Actuator Position Sensor Circuit"
P266B,"""A"" Rocker Arm Actuator Position Sensor Circuit Range/Performance"
P266C,"""A"" Rocker Arm Actuator Position Sensor Circuit Low"
P266D,"""A"" Rocker Arm Actuator Position Sensor Circuit High"
P266E,"""A"" Rocker Arm Actuator Position Sensor Circuit Intermittent/Erratic"
P2670,"Actuator Supply Voltage ""B"" Circuit Low"
P2671,"Actuator Supply Voltage ""B"" Circuit High"
P2672,Injection Pump Timing Offset
P2673,Injection Pump Timing Calibration not Learned
P2674,Injection Pump Fuel Calibration not Learned
P2675,Air Cleaner Inlet Control Circuit/Open
P2676,Air Cleaner Inlet Control Circuit Low
P2677,Air Cleaner Inlet Control Circuit High
P2678,Coolant Degassing Valve Control Circuit/Open
P2679,Coolant Degassing Valve Control Circuit Low
P267A,"""B"" Rocker Arm Actuator Position Sensor Circuit"
P267B,"""B"" Rocker Arm Actuator Position Sensor Circuit Range/Performance"
P267C,"""B"" Rocker Arm Actuator Position Sensor Circuit Low"
P267D,"""B"" Rocker Arm Actuator Position Sensor Circuit High"
P267E,"""B"" Rocker Arm Actuator Position Sensor Circuit Intermittent/Erratic"
P2680,Coolant Degassing Valve Control Circuit High
P2681,Engine Coolant Bypass Valve Control Circuit/Open
P2682,Engine Coolant Bypass Valve Control Circuit Low
P2683,Engine Coolant Bypass Valve Control Circuit High
P2684,"Actuator Supply Voltage ""C"" Circuit/Open"
P2685,"Actuator Supply Voltage ""C"" Circuit Low"
P2686,"Actuator Supply Voltage ""C"" Circuit High"
P2687,Fuel Supply Heater Control Circuit/Open
P2688,Fuel Supply Heater Control Circuit Low
P2689,Fuel Supply Heater Control Circuit High
P268A,Fuel Injector Calibration not Learned/Programmed
P268B,High Pressure Fuel Pump Calibration not Learned/Programmed
P268C,Cylinder 1 Injector Data Incompatible
P268D,Cylinder 2 Injector Data Incompatible
P268E,Cylinder 3 Injector Data Incompatible
P268F,Cylinder 4 Injector Data Incompatible
P2690,Cylinder 5 Injector Data Incompatible
P2691,Cylinder 6 Injector Data Incompatible
P2692,Cylinder 7 Injector Data Incompatible
P2693,Cylinder 8 Injector Data Incompatible
P2694,Cylinder 9 Injector Data Incompatible
P2695,Cylinder 10 Injector Data Incompatible
P2696,Injector Data Incompatible
P2697,"Exhaust Aftertreatment Fuel Injector ""A"" Circuit/Open"
P2698,"Exhaust Aftertreatment Fuel Injector ""A"" Performance"
P2699,"Exhaust Aftertreatment Fuel Injector ""A"" Circuit Low"
P269A,"Exhaust Aftertreatment Fuel Injector ""A"" Circuit High"
P269B,Exhaust Aftertreatment Glow Plug Control Circuit/Open
P269C,Exhaust Aftertreatment Glow Plug Control Performance
P269D,Exhaust Aftertreatment Glow Plug Control Circuit Low
P269E,Exhaust Aftertreatment Glow Plug Control Circuit High
P269F,Exhaust Aftertreatment Glow Plug Circuit/Open
P26A0,Exhaust Aftertreatment Glow Plug Performance
P26A1,Exhaust Aftertreatment Glow Plug Circuit Low
P26A2,Exhaust Aftertreatment Glow Plug Circuit High
P2700,"Transmission Friction Element ""A"" Apply Time Range/Performance"
P2701,"Transmission Friction Element ""B"" Apply Time Range/Performance"
P2702,"Transmission Friction Element ""C"" Apply Time Range/Performance"
P2703,"Transmission Friction Element ""D"" Apply Time Range/Performance"
P2704,"Transmission Friction Element ""E"" Apply Time Range/Performance"
P2705,"Transmission Friction Element ""F"" Apply Time Range/Performance"
P2706,"Shift Solenoid ""F"""
P2707,"Shift Solenoid ""F"" Performance/Stuck Off"
P2708,"Shift Solenoid ""F"" Stuck On"
P2709,"Shift Solenoid ""F"" Electrical"
P2710,"Shift Solenoid ""F"" Intermittent"
P2711,Unexpected Mechanical Gear Disengagement
P2712,Hydraulic Power Unit Leakage
P2713,"Pressure Control Solenoid ""D"""
P2714,"Pressure Control Solenoid ""D"" Performance/Stuck Off"
P2715,"Pressure Control Solenoid ""D"" Stuck On"
P2716,"Pressure Control Solenoid ""D"" Electrical"
P2717,"Pressure Control Solenoid ""D"" Intermittent"
P2718,"Pressure Control Solenoid ""D"" Control Circuit/Open"
P2719,"Pressure Control Solenoid ""D"" Control Circuit Range/Performance"
P2720,"Pressure Control Solenoid ""D"" Control Circuit Low"
P2721,"Pressure Control Solenoid ""D"" Control Circuit High"
P2722,"Pressure Control Solenoid ""E"""
P2723,"Pressure Control Solenoid ""E"" Performance/Stuck Off"
